Organization - Name,Organization - Address,Geocoded Address,Latitude,Longitude,Organization - Locality,Organization - New Coverage,Organization - Used Coverage,Organization - Closed deals,Organization - Open deals
Suntrup Kia,"6263 S Lindbergh Blvd, St. Louis, MO 63123","6263, South Lindbergh Boulevard, Saint Louis County, Missouri, 63123, United States of America",38.5167049,-90.3429567,Local,Custom,NA,0,10
Suntrup Nissan,"6000 S Lindbergh Blvd, St. Louis, MO 63123","6000, South Lindbergh Boulevard, Saint Louis County, Missouri, 63123, United States",38.5207283,-90.3446149,Local,ShortCut,ShortCut,0,10
Suntrup Volkswagen,"6014 S Lindbergh Blvd, St. Louis, MO 63123","6014, South Lindbergh Boulevard, Saint Louis County, Missouri, 63123, United States of America",38.5206255,-90.3444216,Local,ShortCut,ShortCut,0,5
Tempe Honda,"8030 S Autoplex Loop, Tempe, AZ 85284","Autoplex Loop, Tempe Autoplex, Tempe, Maricopa County, Arizona, 85076, United States of America",33.3437783,-111.9658313,,,,0,0
Thoroughbred Ford,"Thoroughbred Ford, 8501 North Boardwalk Avenue, Kansas City, MO, USA","Thoroughbred Ford, North Boardwalk Avenue, Boardwalk Square, Kansas City, Platte County, Missouri, 64154, United States of America",39.2491586,-94.6553814,,,,0,15
Tom Stehouwer Auto Sales,"7000 Division Ave S, Grand Rapids, MI 49548","Division Avenue South, Grand Rapids, Kent County, Michigan, 49548, United States of America",42.9181111,-85.6662428,,,,0,0
Twin City Toyota,"301 Autumn Ridge Dr, Herculaneum, MO 63048","301, Autumn Ridge Drive, Herculaneum, Joachim Township, Jefferson County, Missouri, 63048, United States",38.254614,-90.400215,Local,,,0,0
Victory Toyota,"11771 Tesson Ferry Rd, St. Louis, MO 63128","11771, Tesson Ferry Road, Concord, Saint Louis County, Missouri, 63128, United States",38.5216208,-90.3588705,Local,Custom,NA,0,5
Volvo Cars West County,"14410 Manchester Rd, Manchester, MO 63011","West County Volvo, 14410, Manchester Road, Manchester, Saint Louis County, Missouri, 63011, United States of America",38.5928645,-90.5168575,Local,,,0,38
Walser toyota,"4401 American Blvd W, Bloomington, MN 55437","Walser Toyota, 4401, American Boulevard West, Bloomington, Hennepin County, Minnesota, 55437, United States of America",44.8569753,-93.3353478,,,,0,1
